Date,Rank,Brand,Product Name,Price,Tags
2026-01-13 11:33:44,15,달바,[1월올영픽/더블기획] 달바 비타 토닝 캡슐 크림 55g 더블 기획,"56,900","세일, 쿠폰, 오늘드림"
2026-01-13 11:33:44,16,토리든,[1위 속보습세럼/단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필기획(+리필팩 50ml),"27,000","세일, 오늘드림"
2026-01-13 11:33:44,17,아이오페,[1월 올영픽 한정기획] 아이오페 레티놀 레티젝션 세럼 30ml +25ml 기획,"43,800","세일, 쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,18,메디큐브,[2025 어워즈/미백천재앰플] 메디큐브 PDRN 핑크앰플 30ml 어워즈 기획 (+리필50ml+세럼1.5ml*5매),"24,600","세일, 오늘드림"
2026-01-13 11:33:44,19,온그리디언츠,[1월 올영픽] [리뉴얼/투명도2배] 온그리디언츠 스킨 베리어 카밍 로션 이엑스 220ml 기획 (+80ml),"28,820","세일, 쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,20,닥터지,[1월 올영픽/수분진정] 닥터지 레드 블레미쉬 클리어 수딩크림 70ml 기획 (+크림 30ml+세럼 10ml*2ea),"26,600","세일, 쿠폰, 오늘드림"
2026-01-13 11:33:44,21,메디큐브,[1월 올영픽/곰돌이 공병 기획] 메디큐브 PDRN 핑크 콜라겐 글로우 젤리 미스트 100ml 더블기획,"29,900","세일, 오늘드림"
2026-01-13 11:33:44,22,아누아,[1월 올영픽/리뉴얼] 아누아 어성초 77 히알루론 수분 진정 토너 250ml 더블 기획,"23,900","세일, 쿠폰, 오늘드림"
2026-01-13 11:33:44,23,이니스프리,[1월올영픽/키링증정] 이니스프리 레티놀 시카 앰플 30ml 더블 기획,"28,600","세일, 쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,24,아이디얼포맨,[7년연속 어워즈1위]아이디얼포맨 퍼펙트 올인원 150ml 기획/어워즈기획,"16,800","쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,25,아누아,[1월 올영픽/단독기획] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 기획 (+1ml*5ea),"19,900","세일, 쿠폰, 오늘드림"
2026-01-13 11:33:44,26,샤이샤이샤이,[단독기획/화잘먹 대란템] 샤이샤이샤이 리포좀 리페어 밀키 크림 50ml 기획 (+15ml),"19,600","세일, 오늘드림"
2026-01-13 11:33:44,27,브링그린,[1월올영PICK| 하루특가] 브링그린 징크테카 트러블세럼 1.5mlx10ea/ 25+25ml/ 50+25ml 기획,"23,600","세일, 증정, 오늘드림"
2026-01-13 11:33:44,28,라로슈포제,라로슈포제 시카플라스트 멀티 리페어 크림 100ml 기획 (+멜라B3 세럼 3ml 증정),"52,000",오늘드림
2026-01-13 11:33:44,29,메디큐브 에이지알,[증정행사] [디바이스 2관왕] 메디큐브 부스터프로/미니플러스/울트라튠 택 1,"119,000","세일, 쿠폰, 증정, 무배"
2026-01-13 11:33:44,30,브링그린,[1월올영PICK] 브링그린 징크테카 트러블 세럼 (대용량/콜라보/기획),"28,900","세일, 쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,31,라운드랩,[2025 어워즈] 라운드랩 1025 독도 토너 500ml 어워즈 한정기획 (+200ml 미스트+스킨패드 30매),"29,800","세일, 오늘드림"
2026-01-13 11:33:44,32,아누아,[1월 올영픽/단독기획] 아누아 피디알엔 히알루론산 100 수분크림 60mL 기획 2입,"28,900","세일, 쿠폰, 오늘드림"
2026-01-13 11:33:44,33,VT,[모공에센스] VT 리들샷 100 에센스 50ml 기획 (+리들샷300 1ml*3개+PDRN에센스 1.5ml*3ea),"19,900","세일, 쿠폰, 오늘드림"
2026-01-13 11:33:44,34,차앤박,[1월올영픽/보습광채] 차앤박 프로폴리스 에너지 액티브 앰플 30ml 2입 기획 (+15ml),"28,400","세일, 쿠폰, 증정, 오늘드림"
